# Match score is a heuristic combining Tpeak, WD mass, WD composition, and initial abundance distance.
# Property match score uses only Iliadis Table 1 properties: Tpeak, WD mass, and WD composition.
# Lower score is better. Composition/mass are inferred from case names when available.
case	trajectory	initial_abundance	case_wd_composition	case_wd_mass_msun	case_tpeak_gk	case_peak_rho_cgs	trajectory_points	iliadis_model	iliadis_model_label	iliadis_wd_composition	iliadis_wd_mass_msun	iliadis_tpeak_gk	abs_tpeak_diff_gk	abs_mass_diff_msun	composition_match	initial_abundance_rms_log10	initial_abundance_l1	property_match_score	match_score
co_nova_1.15_10_B_mixed	nova_cases/co_nova_1.15_10_B_mixed/trajectory_co_nova_1.15_10_B_mixed.input	nova_cases/co_nova_1.15_10_B_mixed/iniab_co_nova_1.15_10_B_mixed.dat	CO	1.150	0.2572	4.152820E+02	1748	JH2	JH 2	CO	1.000	0.170	0.0872	0.150	True	0.661843	6.634818E-02	3.244000	3.905843
co_nova_1.15_10_B_mixed	nova_cases/co_nova_1.15_10_B_mixed/trajectory_co_nova_1.15_10_B_mixed.input	nova_cases/co_nova_1.15_10_B_mixed/iniab_co_nova_1.15_10_B_mixed.dat	CO	1.150	0.2572	4.152820E+02	1748	JCH1	JCH 1	ONe	1.150	0.231	0.0262	0.000	False	1.024984	4.697185E-01	3.524000	4.548984
co_nova_1.15_10_B_mixed	nova_cases/co_nova_1.15_10_B_mixed/trajectory_co_nova_1.15_10_B_mixed.input	nova_cases/co_nova_1.15_10_B_mixed/iniab_co_nova_1.15_10_B_mixed.dat	CO	1.150	0.2572	4.152820E+02	1748	JCH2	JCH 2	ONe	1.250	0.251	0.0062	0.100	False	1.024984	4.697185E-01	4.124000	5.148984
co_nova_1.15_10_B_mixed	nova_cases/co_nova_1.15_10_B_mixed/trajectory_co_nova_1.15_10_B_mixed.input	nova_cases/co_nova_1.15_10_B_mixed/iniab_co_nova_1.15_10_B_mixed.dat	CO	1.150	0.2572	4.152820E+02	1748	JH1	JH 1	CO	0.800	0.145	0.1122	0.350	True	0.673741	4.942182E-01	5.744000	6.417741
co_nova_1.15_10_B_mixed	nova_cases/co_nova_1.15_10_B_mixed/trajectory_co_nova_1.15_10_B_mixed.input	nova_cases/co_nova_1.15_10_B_mixed/iniab_co_nova_1.15_10_B_mixed.dat	CO	1.150	0.2572	4.152820E+02	1748	P1	P1	ONe	1.250	0.290	0.0328	0.100	False	8.321283	7.215321E-01	4.656000	7.656000
co_nova_1.15_10_B_mixed	nova_cases/co_nova_1.15_10_B_mixed/trajectory_co_nova_1.15_10_B_mixed.input	nova_cases/co_nova_1.15_10_B_mixed/iniab_co_nova_1.15_10_B_mixed.dat	CO	1.150	0.2572	4.152820E+02	1748	P2	P2	ONe	1.350	0.356	0.0988	0.200	False	8.321283	7.215321E-01	6.976000	9.976000
co_nova_1.15_10_B_mixed	nova_cases/co_nova_1.15_10_B_mixed/trajectory_co_nova_1.15_10_B_mixed.input	nova_cases/co_nova_1.15_10_B_mixed/iniab_co_nova_1.15_10_B_mixed.dat	CO	1.150	0.2572	4.152820E+02	1748	S1	S1	ONe	1.350	0.418	0.1608	0.200	False	8.321283	7.215321E-01	8.216000	11.216000
co_nova_1.15_12_X_mixed	nova_cases/co_nova_1.15_12_X_mixed/trajectory_co_nova_1.15_12_X_mixed.input	nova_cases/co_nova_1.15_12_X_mixed/iniab_co_nova_1.15_12_X_mixed.dat	CO	1.150	0.2361	2.952840E+02	805	JH2	JH 2	CO	1.000	0.170	0.0661	0.150	True	0.661843	6.634818E-02	2.822000	3.483843
co_nova_1.15_12_X_mixed	nova_cases/co_nova_1.15_12_X_mixed/trajectory_co_nova_1.15_12_X_mixed.input	nova_cases/co_nova_1.15_12_X_mixed/iniab_co_nova_1.15_12_X_mixed.dat	CO	1.150	0.2361	2.952840E+02	805	JCH1	JCH 1	ONe	1.150	0.231	0.0051	0.000	False	1.024984	4.697185E-01	3.102000	4.126984
co_nova_1.15_12_X_mixed	nova_cases/co_nova_1.15_12_X_mixed/trajectory_co_nova_1.15_12_X_mixed.input	nova_cases/co_nova_1.15_12_X_mixed/iniab_co_nova_1.15_12_X_mixed.dat	CO	1.150	0.2361	2.952840E+02	805	JCH2	JCH 2	ONe	1.250	0.251	0.0149	0.100	False	1.024984	4.697185E-01	4.298000	5.322984
co_nova_1.15_12_X_mixed	nova_cases/co_nova_1.15_12_X_mixed/trajectory_co_nova_1.15_12_X_mixed.input	nova_cases/co_nova_1.15_12_X_mixed/iniab_co_nova_1.15_12_X_mixed.dat	CO	1.150	0.2361	2.952840E+02	805	JH1	JH 1	CO	0.800	0.145	0.0911	0.350	True	0.673741	4.942182E-01	5.322000	5.995741
co_nova_1.15_12_X_mixed	nova_cases/co_nova_1.15_12_X_mixed/trajectory_co_nova_1.15_12_X_mixed.input	nova_cases/co_nova_1.15_12_X_mixed/iniab_co_nova_1.15_12_X_mixed.dat	CO	1.150	0.2361	2.952840E+02	805	P1	P1	ONe	1.250	0.290	0.0539	0.100	False	8.321283	7.215321E-01	5.078000	8.078000
co_nova_1.15_12_X_mixed	nova_cases/co_nova_1.15_12_X_mixed/trajectory_co_nova_1.15_12_X_mixed.input	nova_cases/co_nova_1.15_12_X_mixed/iniab_co_nova_1.15_12_X_mixed.dat	CO	1.150	0.2361	2.952840E+02	805	P2	P2	ONe	1.350	0.356	0.1199	0.200	False	8.321283	7.215321E-01	7.398000	10.398000
co_nova_1.15_12_X_mixed	nova_cases/co_nova_1.15_12_X_mixed/trajectory_co_nova_1.15_12_X_mixed.input	nova_cases/co_nova_1.15_12_X_mixed/iniab_co_nova_1.15_12_X_mixed.dat	CO	1.150	0.2361	2.952840E+02	805	S1	S1	ONe	1.350	0.418	0.1819	0.200	False	8.321283	7.215321E-01	8.638000	11.638000
ne_nova_1.15_12_X_weiss_mixed	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/trajectory_ne_nova_1.15_12_X_weiss_mixed.input	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/iniab_ne_nova_1.15_12_X_weiss_mixed.dat	ONe	1.150	0.2626	4.185120E+02	438	JCH1	JCH 1	ONe	1.150	0.231	0.0316	0.000	True	0.739511	1.639574E-01	0.632000	1.371511
ne_nova_1.15_12_X_weiss_mixed	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/trajectory_ne_nova_1.15_12_X_weiss_mixed.input	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/iniab_ne_nova_1.15_12_X_weiss_mixed.dat	ONe	1.150	0.2626	4.185120E+02	438	JCH2	JCH 2	ONe	1.250	0.251	0.0116	0.100	True	0.739511	1.639574E-01	1.232000	1.971511
ne_nova_1.15_12_X_weiss_mixed	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/trajectory_ne_nova_1.15_12_X_weiss_mixed.input	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/iniab_ne_nova_1.15_12_X_weiss_mixed.dat	ONe	1.150	0.2626	4.185120E+02	438	P1	P1	ONe	1.250	0.290	0.0274	0.100	True	8.339020	2.103907E-01	1.548000	4.548000
ne_nova_1.15_12_X_weiss_mixed	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/trajectory_ne_nova_1.15_12_X_weiss_mixed.input	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/iniab_ne_nova_1.15_12_X_weiss_mixed.dat	ONe	1.150	0.2626	4.185120E+02	438	P2	P2	ONe	1.350	0.356	0.0934	0.200	True	8.339020	2.103907E-01	3.868000	6.868000
ne_nova_1.15_12_X_weiss_mixed	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/trajectory_ne_nova_1.15_12_X_weiss_mixed.input	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/iniab_ne_nova_1.15_12_X_weiss_mixed.dat	ONe	1.150	0.2626	4.185120E+02	438	JH2	JH 2	CO	1.000	0.170	0.0926	0.150	False	1.113238	5.743718E-01	6.352000	7.465238
ne_nova_1.15_12_X_weiss_mixed	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/trajectory_ne_nova_1.15_12_X_weiss_mixed.input	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/iniab_ne_nova_1.15_12_X_weiss_mixed.dat	ONe	1.150	0.2626	4.185120E+02	438	S1	S1	ONe	1.350	0.418	0.1554	0.200	True	8.339020	2.103907E-01	5.108000	8.108000
ne_nova_1.15_12_X_weiss_mixed	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/trajectory_ne_nova_1.15_12_X_weiss_mixed.input	nova_cases/ne_nova_1.15_12_X_weiss_mixed/ppn/iniab_ne_nova_1.15_12_X_weiss_mixed.dat	ONe	1.150	0.2626	4.185120E+02	438	JH1	JH 1	CO	0.800	0.145	0.1176	0.350	False	1.050699	7.470520E-01	8.852000	9.902699
ne_nova_1.3_12_X_Barcelona	nova_cases/ne_nova_1.3_12_X_Barcelona/trajectory_ne_nova_1.3_12_X_Barcelona.input	nova_cases/ne_nova_1.3_12_X_Barcelona/iniab_ne_nova_1.3_12_X_Barcelona.dat	ONe	1.300	0.3554	8.034920E+02	1022	P2	P2	ONe	1.350	0.356	0.0006	0.050	True	8.800298	3.634998E-01	0.512000	3.512000
ne_nova_1.3_12_X_Barcelona	nova_cases/ne_nova_1.3_12_X_Barcelona/trajectory_ne_nova_1.3_12_X_Barcelona.input	nova_cases/ne_nova_1.3_12_X_Barcelona/iniab_ne_nova_1.3_12_X_Barcelona.dat	ONe	1.300	0.3554	8.034920E+02	1022	S1	S1	ONe	1.350	0.418	0.0626	0.050	True	8.800298	3.634998E-01	1.752000	4.752000
ne_nova_1.3_12_X_Barcelona	nova_cases/ne_nova_1.3_12_X_Barcelona/trajectory_ne_nova_1.3_12_X_Barcelona.input	nova_cases/ne_nova_1.3_12_X_Barcelona/iniab_ne_nova_1.3_12_X_Barcelona.dat	ONe	1.300	0.3554	8.034920E+02	1022	P1	P1	ONe	1.250	0.290	0.0654	0.050	True	8.800298	3.634998E-01	1.808000	4.808000
