  1 PROT          1.6000000000E-01
  2 he   3         0.0000000000E+00
  2 he   4         3.6000000000E-01
  4 be   7         1.9000000000E-10
  6 c   12         3.5000000000E-02
  6 c   13         6.6000000000E-02
  7 n   14         1.2000000000E-01
  7 n   15         2.5000000000E-05
  8 o   16         3.4000000000E-03
  8 o   17         1.7000000000E-03
  8 o   18         1.7000000000E-07
  9 f   18         2.1000000000E-06
  9 f   19         7.5000000000E-09
 10 ne  20         1.6000000000E-01
 10 ne  21         4.2000000000E-06
 10 ne  22         2.8000000000E-04
 11 na  22         1.1000000000E-04
 11 na  23         1.6000000000E-04
 12 mg  24         8.1000000000E-06
 12 mg  25         8.0000000000E-04
 12 mg  26         3.1000000000E-05
 13 al  26         9.9000000000E-05
 13 al  27         6.5000000000E-04
 14 si  28         6.9000000000E-02
 14 si  29         8.7000000000E-04
 14 si  30         1.1000000000E-02
 15 p   31         5.2000000000E-03
 16 s   32         4.2000000000E-03
 16 s   33         9.3000000000E-07
 16 s   34         1.3000000000E-06
 17 cl  35         2.2000000000E-06
 17 cl  37         1.5000000000E-07
 18 ar  36         1.2000000000E-05
 18 ar  37         2.6000000000E-05
 18 ar  38         3.4000000000E-06
 19 k   39         6.6000000000E-07
 20 ca  40         3.0000000000E-05
 20 ca  41         4.2000000000E-09
 20 ca  42         0.0000000000E+00
