  1 PROT          2.4000000000E-01
  2 he   3         4.5000000000E-07
  2 he   4         2.2000000000E-01
  4 be   7         5.9000000000E-07
  6 c   12         2.6000000000E-02
  6 c   13         6.9000000000E-02
  7 n   14         2.2000000000E-01
  7 n   15         3.3000000000E-03
  8 o   16         1.9000000000E-01
  8 o   17         2.0000000000E-02
  8 o   18         1.6000000000E-09
  9 f   18         1.8000000000E-05
  9 f   19         3.3000000000E-08
 10 ne  20         9.8000000000E-04
 10 ne  21         2.5000000000E-08
 10 ne  22         4.8000000000E-03
 11 na  22         6.4000000000E-07
 11 na  23         2.1000000000E-05
 12 mg  24         1.2000000000E-06
 12 mg  25         2.5000000000E-04
 12 mg  26         1.8000000000E-05
 13 al  26         3.1000000000E-05
 13 al  27         9.2000000000E-05
 14 si  28         3.9000000000E-04
 14 si  29         1.6000000000E-05
 14 si  30         1.3000000000E-05
 15 p   31         4.0000000000E-06
 16 s   32         2.0000000000E-04
 16 s   33         1.6000000000E-06
 16 s   34         9.2000000000E-06
 17 cl  35         1.3000000000E-06
 17 cl  37         4.3000000000E-07
 18 ar  36         3.9000000000E-05
 18 ar  37         2.1000000000E-07
 18 ar  38         7.7000000000E-06
 19 k   39         1.7000000000E-06
 20 ca  40         3.0000000000E-05
 20 ca  41         4.9000000000E-09
 20 ca  42         0.0000000000E+00
