  1 PROT          2.0000000000E-01
  2 he   3         0.0000000000E+00
  2 he   4         2.2000000000E-01
  4 be   7         7.2000000000E-07
  6 c   12         5.1000000000E-02
  6 c   13         2.7000000000E-02
  7 n   14         2.2000000000E-02
  7 n   15         8.2000000000E-03
  8 o   16         1.5000000000E-04
  8 o   17         1.7000000000E-02
  8 o   18         7.1000000000E-06
  9 f   18         4.3000000000E-06
  9 f   19         1.1000000000E-07
 10 ne  20         1.0000000000E-01
 10 ne  21         7.7000000000E-06
 10 ne  22         4.0000000000E-09
 11 na  22         4.9000000000E-05
 11 na  23         5.7000000000E-04
 12 mg  24         2.8000000000E-05
 12 mg  25         9.1000000000E-03
 12 mg  26         4.3000000000E-04
 13 al  26         3.7000000000E-03
 13 al  27         1.5000000000E-02
 14 si  28         8.0000000000E-02
 14 si  29         2.7000000000E-03
 14 si  30         2.6000000000E-02
 15 p   31         2.4000000000E-02
 16 s   32         1.7000000000E-01
 16 s   33         3.2000000000E-03
 16 s   34         4.2000000000E-03
 17 cl  35         9.7000000000E-03
 17 cl  37         1.2000000000E-05
 18 ar  36         1.6000000000E-03
 18 ar  37         5.5000000000E-03
 18 ar  38         2.1000000000E-03
 19 k   39         2.0000000000E-04
 20 ca  40         5.7000000000E-05
 20 ca  41         2.7000000000E-08
 20 ca  42         8.6000000000E-09
