  1 PROT          1.5000000000E-01
  2 he   3         0.0000000000E+00
  2 he   4         2.2000000000E-01
  4 be   7         2.3000000000E-07
  6 c   12         4.3000000000E-02
  6 c   13         1.9000000000E-02
  7 n   14         2.2000000000E-02
  7 n   15         4.2000000000E-02
  8 o   16         1.2000000000E-04
  8 o   17         2.6000000000E-04
  8 o   18         1.1000000000E-08
  9 f   18         1.1000000000E-07
  9 f   19         1.0000000000E-06
 10 ne  20         4.2000000000E-02
 10 ne  21         5.9000000000E-06
 10 ne  22         1.9000000000E-10
 11 na  22         2.1000000000E-05
 11 na  23         9.8000000000E-04
 12 mg  24         4.5000000000E-05
 12 mg  25         6.3000000000E-03
 12 mg  26         2.8000000000E-04
 13 al  26         2.5000000000E-03
 13 al  27         9.9000000000E-03
 14 si  28         5.6000000000E-02
 14 si  29         2.1000000000E-03
 14 si  30         2.4000000000E-02
 15 p   31         2.6000000000E-02
 16 s   32         2.1000000000E-01
 16 s   33         6.4000000000E-03
 16 s   34         9.4000000000E-03
 17 cl  35         3.0000000000E-02
 17 cl  37         8.2000000000E-06
 18 ar  36         6.2000000000E-03
 18 ar  37         3.3000000000E-02
 18 ar  38         2.6000000000E-02
 19 k   39         7.3000000000E-03
 20 ca  40         5.0000000000E-03
 20 ca  41         3.7000000000E-06
 20 ca  42         1.6000000000E-06
