H NUM   Z    A    ISOM ABUNDNACE_MF  ISOTP
 # source Iliadis et al. 2002 Table 4
 # model JH 2
    1     1.    1.   1   2.40000E-01  PROT
    2     2.    3.   1   4.50000E-07  HE  3
    3     2.    4.   1   2.20000E-01  HE  4
    4     4.    7.   1   5.90000E-07  BE  7
    5     6.   12.   1   2.60000E-02  C  12
    6     6.   13.   1   6.90000E-02  C  13
    7     7.   14.   1   2.20000E-01  N  14
    8     7.   15.   1   3.30000E-03  N  15
    9     8.   16.   1   1.90000E-01  O  16
   10     8.   17.   1   2.00000E-02  O  17
   11     8.   18.   1   1.60000E-09  O  18
   12     9.   18.   1   1.80000E-05  F  18
   13     9.   19.   1   3.30000E-08  F  19
   14    10.   20.   1   9.80000E-04  NE 20
   15    10.   21.   1   2.50000E-08  NE 21
   16    10.   22.   1   4.80000E-03  NE 22
   17    11.   22.   1   6.40000E-07  NA 22
   18    11.   23.   1   2.10000E-05  NA 23
   19    12.   24.   1   1.20000E-06  MG 24
   20    12.   25.   1   2.50000E-04  MG 25
   21    12.   26.   1   1.80000E-05  MG 26
   22    13.   26.   1   3.10000E-05  AL 26
   23    13.   27.   1   9.20000E-05  AL 27
   24    14.   28.   1   3.90000E-04  SI 28
   25    14.   29.   1   1.60000E-05  SI 29
   26    14.   30.   1   1.30000E-05  SI 30
   27    15.   31.   1   4.00000E-06  P  31
   28    16.   32.   1   2.00000E-04  S  32
   29    16.   33.   1   1.60000E-06  S  33
   30    16.   34.   1   9.20000E-06  S  34
   31    17.   35.   1   1.30000E-06  CL 35
   32    17.   37.   1   4.30000E-07  CL 37
   33    18.   36.   1   3.90000E-05  AR 36
   34    18.   37.   1   2.10000E-07  AR 37
   35    18.   38.   1   7.70000E-06  AR 38
   36    19.   39.   1   1.70000E-06  K  39
   37    20.   40.   1   3.00000E-05  CA 40
   38    20.   41.   1   4.90000E-09  CA 41
   39    20.   42.   1   0.00000E+00  CA 42
