H NUM   Z    A    ISOM ABUNDNACE_MF  ISOTP
 # source Iliadis et al. 2002 Table 4
 # model P2
    1     1.    1.   1   2.00000E-01  PROT
    2     2.    3.   1   0.00000E+00  HE  3
    3     2.    4.   1   2.20000E-01  HE  4
    4     4.    7.   1   7.20000E-07  BE  7
    5     6.   12.   1   5.10000E-02  C  12
    6     6.   13.   1   2.70000E-02  C  13
    7     7.   14.   1   2.20000E-02  N  14
    8     7.   15.   1   8.20000E-03  N  15
    9     8.   16.   1   1.50000E-04  O  16
   10     8.   17.   1   1.70000E-02  O  17
   11     8.   18.   1   7.10000E-06  O  18
   12     9.   18.   1   4.30000E-06  F  18
   13     9.   19.   1   1.10000E-07  F  19
   14    10.   20.   1   1.00000E-01  NE 20
   15    10.   21.   1   7.70000E-06  NE 21
   16    10.   22.   1   4.00000E-09  NE 22
   17    11.   22.   1   4.90000E-05  NA 22
   18    11.   23.   1   5.70000E-04  NA 23
   19    12.   24.   1   2.80000E-05  MG 24
   20    12.   25.   1   9.10000E-03  MG 25
   21    12.   26.   1   4.30000E-04  MG 26
   22    13.   26.   1   3.70000E-03  AL 26
   23    13.   27.   1   1.50000E-02  AL 27
   24    14.   28.   1   8.00000E-02  SI 28
   25    14.   29.   1   2.70000E-03  SI 29
   26    14.   30.   1   2.60000E-02  SI 30
   27    15.   31.   1   2.40000E-02  P  31
   28    16.   32.   1   1.70000E-01  S  32
   29    16.   33.   1   3.20000E-03  S  33
   30    16.   34.   1   4.20000E-03  S  34
   31    17.   35.   1   9.70000E-03  CL 35
   32    17.   37.   1   1.20000E-05  CL 37
   33    18.   36.   1   1.60000E-03  AR 36
   34    18.   37.   1   5.50000E-03  AR 37
   35    18.   38.   1   2.10000E-03  AR 38
   36    19.   39.   1   2.00000E-04  K  39
   37    20.   40.   1   5.70000E-05  CA 40
   38    20.   41.   1   2.70000E-08  CA 41
   39    20.   42.   1   8.60000E-09  CA 42
