H NUM   Z    A    ISOM ABUNDNACE_MF  ISOTP
 # source Iliadis et al. 2002 Table 4
 # model S1
    1     1.    1.   1   1.50000E-01  PROT
    2     2.    3.   1   0.00000E+00  HE  3
    3     2.    4.   1   2.20000E-01  HE  4
    4     4.    7.   1   2.30000E-07  BE  7
    5     6.   12.   1   4.30000E-02  C  12
    6     6.   13.   1   1.90000E-02  C  13
    7     7.   14.   1   2.20000E-02  N  14
    8     7.   15.   1   4.20000E-02  N  15
    9     8.   16.   1   1.20000E-04  O  16
   10     8.   17.   1   2.60000E-04  O  17
   11     8.   18.   1   1.10000E-08  O  18
   12     9.   18.   1   1.10000E-07  F  18
   13     9.   19.   1   1.00000E-06  F  19
   14    10.   20.   1   4.20000E-02  NE 20
   15    10.   21.   1   5.90000E-06  NE 21
   16    10.   22.   1   1.90000E-10  NE 22
   17    11.   22.   1   2.10000E-05  NA 22
   18    11.   23.   1   9.80000E-04  NA 23
   19    12.   24.   1   4.50000E-05  MG 24
   20    12.   25.   1   6.30000E-03  MG 25
   21    12.   26.   1   2.80000E-04  MG 26
   22    13.   26.   1   2.50000E-03  AL 26
   23    13.   27.   1   9.90000E-03  AL 27
   24    14.   28.   1   5.60000E-02  SI 28
   25    14.   29.   1   2.10000E-03  SI 29
   26    14.   30.   1   2.40000E-02  SI 30
   27    15.   31.   1   2.60000E-02  P  31
   28    16.   32.   1   2.10000E-01  S  32
   29    16.   33.   1   6.40000E-03  S  33
   30    16.   34.   1   9.40000E-03  S  34
   31    17.   35.   1   3.00000E-02  CL 35
   32    17.   37.   1   8.20000E-06  CL 37
   33    18.   36.   1   6.20000E-03  AR 36
   34    18.   37.   1   3.30000E-02  AR 37
   35    18.   38.   1   2.60000E-02  AR 38
   36    19.   39.   1   7.30000E-03  K  39
   37    20.   40.   1   5.00000E-03  CA 40
   38    20.   41.   1   3.70000E-06  CA 41
   39    20.   42.   1   1.60000E-06  CA 42
