  1 PROT          3.5000000000E-01
  1 h    2         2.4000000000E-05
  2 he   3         1.5000000000E-05
  2 he   4         1.4000000000E-01
  3 li   6         3.3000000000E-10
  3 li   7         4.7000000000E-09
  4 be   9         8.3000000000E-11
  5 b   10         5.4000000000E-10
  5 b   11         2.4000000000E-09
  6 c   12         2.5000000000E-01
  6 c   13         1.8000000000E-05
  7 n   14         5.6000000000E-04
  7 n   15         2.2000000000E-06
  8 o   16         2.5000000000E-01
  8 o   17         2.0000000000E-06
  8 o   18         1.1000000000E-05
  9 f   19         2.0000000000E-07
 10 ne  20         8.1000000000E-04
 10 ne  21         2.1000000000E-06
 10 ne  22         5.1000000000E-03
 11 na  23         1.7000000000E-05
 12 mg  24         2.6000000000E-04
 12 mg  25         3.4000000000E-05
 12 mg  26         3.9000000000E-05
 13 al  27         2.9000000000E-05
 14 si  28         3.3000000000E-04
 14 si  29         1.7000000000E-05
 14 si  30         1.2000000000E-05
 15 p   31         4.1000000000E-06
 16 s   32         2.0000000000E-04
 16 s   33         1.6000000000E-06
 16 s   34         9.3000000000E-06
 17 cl  35         1.3000000000E-06
 17 cl  37         4.3000000000E-07
 18 ar  36         3.9000000000E-05
 18 ar  38         7.7000000000E-06
 19 k   39         1.7000000000E-06
 20 ca  40         3.0000000000E-05
