  1 PROT          3.7000000000E-01
  1 h    2         0.0000000000E+00
  2 he   3         5.8000000000E-06
  2 he   4         1.3000000000E-01
  3 li   6         0.0000000000E+00
  3 li   7         0.0000000000E+00
  4 be   9         0.0000000000E+00
  5 b   10         0.0000000000E+00
  5 b   11         0.0000000000E+00
  6 c   12         9.4000000000E-04
  6 c   13         1.2000000000E-05
  7 n   14         2.3000000000E-06
  7 n   15         9.1000000000E-07
  8 o   16         1.5000000000E-01
  8 o   17         8.5000000000E-07
  8 o   18         4.9000000000E-06
  9 f   19         1.1000000000E-07
 10 ne  20         2.5000000000E-01
 10 ne  21         9.0000000000E-07
 10 ne  22         2.8000000000E-05
 11 na  23         9.2000000000E-06
 12 mg  24         1.0000000000E-01
 12 mg  25         1.9000000000E-05
 12 mg  26         2.2000000000E-05
 13 al  27         1.6000000000E-05
 14 si  28         1.8000000000E-04
 14 si  29         9.5000000000E-06
 14 si  30         6.5000000000E-06
 15 p   31         2.3000000000E-06
 16 s   32         1.1000000000E-04
 16 s   33         9.0000000000E-07
 16 s   34         5.2000000000E-06
 17 cl  35         9.8000000000E-07
 17 cl  37         3.3000000000E-07
 18 ar  36         1.9000000000E-05
 18 ar  38         3.8000000000E-06
 19 k   39         9.6000000000E-07
 20 ca  40         1.7000000000E-05
