# Iliadis et al. 2002 Table 2. Grouped source columns are expanded to all seven Table 1 models.
isotope	isotope_label	z	element	a	P1	P2	S1	JCH1	JCH2	JH1	JH2
1H	H-1	1	H	1	3.7000000000E-01	3.7000000000E-01	3.7000000000E-01	3.5000000000E-01	3.5000000000E-01	5.3000000000E-01	3.5000000000E-01
2H	H-2	1	H	2	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.4000000000E-05	2.4000000000E-05	3.6000000000E-05	2.4000000000E-05
3He	He-3	2	He	3	5.8000000000E-06	5.8000000000E-06	5.8000000000E-06	1.5000000000E-05	1.5000000000E-05	2.2000000000E-05	1.5000000000E-05
4He	He-4	2	He	4	1.3000000000E-01	1.3000000000E-01	1.3000000000E-01	1.4000000000E-01	1.4000000000E-01	2.1000000000E-01	1.4000000000E-01
6Li	Li-6	3	Li	6	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	3.2000000000E-10	3.2000000000E-10	4.9000000000E-10	3.3000000000E-10
7Li	Li-7	3	Li	7	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	4.7000000000E-09	4.7000000000E-09	7.0000000000E-09	4.7000000000E-09
9Be	Be-9	4	Be	9	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	8.3000000000E-11	8.3000000000E-11	1.2000000000E-10	8.3000000000E-11
10B	B-10	5	B	10	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	5.3000000000E-10	5.3000000000E-10	8.0000000000E-10	5.4000000000E-10
11B	B-11	5	B	11	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	2.4000000000E-09	2.4000000000E-09	3.6000000000E-09	2.4000000000E-09
12C	C-12	6	C	12	9.4000000000E-04	9.4000000000E-04	9.4000000000E-04	6.1000000000E-03	6.1000000000E-03	1.3000000000E-01	2.5000000000E-01
13C	C-13	6	C	13	1.2000000000E-05	1.2000000000E-05	1.2000000000E-05	1.8000000000E-05	1.8000000000E-05	2.7000000000E-05	1.8000000000E-05
14N	N-14	7	N	14	2.3000000000E-06	2.3000000000E-06	2.3000000000E-06	5.5000000000E-04	5.5000000000E-04	8.3000000000E-04	5.6000000000E-04
15N	N-15	7	N	15	9.1000000000E-07	9.1000000000E-07	9.1000000000E-07	2.2000000000E-06	2.2000000000E-06	3.3000000000E-06	2.2000000000E-06
16O	O-16	8	O	16	1.5000000000E-01	1.5000000000E-01	1.5000000000E-01	2.6000000000E-01	2.6000000000E-01	1.3000000000E-01	2.5000000000E-01
17O	O-17	8	O	17	8.5000000000E-07	8.5000000000E-07	8.5000000000E-07	1.9000000000E-06	1.9000000000E-06	2.9000000000E-06	2.0000000000E-06
18O	O-18	8	O	18	4.9000000000E-06	4.9000000000E-06	4.9000000000E-06	1.1000000000E-05	1.1000000000E-05	1.6000000000E-05	1.1000000000E-05
19F	F-19	9	F	19	1.1000000000E-07	1.1000000000E-07	1.1000000000E-07	2.0000000000E-07	2.0000000000E-07	3.0000000000E-07	2.0000000000E-07
