# Iliadis et al. 2002 Table 3.
reaction_id	reaction	factor_up	factor_down	source_note	factor_up_source	factor_down_source
3He_ag_7Be	3He(a,g)7Be	1.2000000000E+00	8.3000000000E-01		1.20	0.83
26Mg_pg_27Al	26Mg(p,g)27Al	4.0000000000E+00	7.0000000000E-01		4.0	0.70
7Be_pg_8B	7Be(p,g)8B	1.1200000000E+00	8.9000000000E-01		1.12	0.89
25Al_pg_26Si	25Al(p,g)26Si	1.0000000000E+02	1.0000000000E-02		100	0.01
7Be_ag_11C	7Be(a,g)11C	1.4000000000E+00	7.1000000000E-01		1.40	0.71
26Alg_pg_27Si	26Alg(p,g)27Si	1.0000000000E+01	8.0000000000E-01		10	0.80
8B_pg_9C	8B(p,g)9C	1.0000000000E+01	1.0000000000E-01		10	0.1
26Alm_pg_27Si	26Alm(p,g)27Si	1.0000000000E+02	1.0000000000E-02	e	100	0.01
12C_pg_13N	12C(p,g)13N	1.1200000000E+00	8.9000000000E-01		1.12	0.89
27Al_pg_28Si	27Al(p,g)28Si	1.2500000000E+00	8.0000000000E-01		1.25	0.80
13C_pg_14N	13C(p,g)14N	1.2000000000E+00	8.3000000000E-01		1.20	0.83
27Al_pa_24Mg	27Al(p,a)24Mg	1.0000000000E+01	1.0000000000E-03		10	10-3
13N_pg_14O	13N(p,g)14O	1.5000000000E+00	6.7000000000E-01		1.50	0.67
27Si_pg_28P	27Si(p,g)28P	1.0000000000E+01	1.0000000000E-01		10	0.1
14N_pg_15O	14N(p,g)15O	1.3000000000E+00	7.7000000000E-01		1.30	0.77
28Si_pg_29P	28Si(p,g)29P	1.7000000000E+00	5.8000000000E-01		1.70	0.58
15N_pg_16O	15N(p,g)16O	1.5000000000E+00	6.7000000000E-01		1.50	0.67
29Si_pg_30P	29Si(p,g)30P	1.0000000000E+01	1.0000000000E-01		10	0.1
15N_pa_12C	15N(p,a)12C	1.4000000000E+00	7.1000000000E-01		1.40	0.71
30Si_pg_31P	30Si(p,g)31P	1.0000000000E+01	1.0000000000E-01		10	0.1
15O_ag_19Ne	15O(a,g)19Ne	1.0000000000E+02	1.0000000000E-02		100	0.01
29P_pg_30S	29P(p,g)30S	1.0000000000E+02	1.0000000000E-02		100	0.01
16O_pg_17F	16O(p,g)17F	1.4000000000E+00	7.1000000000E-01		1.40	0.71
30P_pg_31S	30P(p,g)31S	1.0000000000E+02	1.0000000000E-02	e	100	0.01
17O_pg_18F	17O(p,g)18F	1.0000000000E+01	1.0000000000E-01	b	10	0.1
31P_pg_32S	31P(p,g)32S	1.2500000000E+00	8.0000000000E-01		1.25	0.80
17O_pa_14N	17O(p,a)14N	1.0000000000E+01	1.0000000000E-01	b	10	0.1
31P_pa_28Si	31P(p,a)28Si	7.0000000000E+00	3.0000000000E-01		7.0	0.30
18O_pg_19F	18O(p,g)19F	1.1000000000E+00	9.1000000000E-01		1.10	0.91
31S_pg_32Cl	31S(p,g)32Cl	1.0000000000E+01	1.0000000000E-01		10	0.1
17F_pg_18Ne	17F(p,g)18Ne	1.0000000000E+01	1.0000000000E-01	c	10	0.1
32S_pg_33Cl	32S(p,g)33Cl	1.4000000000E+00	7.1000000000E-01		1.40	0.71
18F_pg_19Ne	18F(p,g)19Ne	1.5000000000E+01	6.6000000000E-02	d	15	0.066
33S_pg_34Cl	33S(p,g)34Cl	1.0000000000E+02	1.0000000000E-02	e	100	0.01
18F_pa_15O	18F(p,a)15O	3.0000000000E+01	3.3000000000E-02	d	30	0.033
34S_pg_35Cl	34S(p,g)35Cl	1.0000000000E+02	1.0000000000E-02	e	100	0.01
19F_pa_16O	19F(p,a)16O	1.4000000000E+00	7.1000000000E-01		1.40	0.71
33Cl_pg_34Ar	33Cl(p,g)34Ar	1.0000000000E+02	1.0000000000E-02	e	100	0.01
19Ne_pg_20Na	19Ne(p,g)20Na	1.0000000000E+02	1.0000000000E-02		100	0.01
34Cl_pg_35Ar	34Cl(p,g)35Ar	1.0000000000E+02	1.0000000000E-02	e	100	0.01
20Ne_pg_21Na	20Ne(p,g)21Na	1.7000000000E+00	5.8000000000E-01		1.70	0.58
35Cl_pg_36Ar	35Cl(p,g)36Ar	1.7300000000E+00	5.8000000000E-01		1.73	0.58
21Ne_pg_22Na	21Ne(p,g)22Na	1.2500000000E+00	8.0000000000E-01		1.25	0.80
35Cl_pa_32S	35Cl(p,a)32S	1.0000000000E+01	1.0000000000E-07		10	10-7
22Ne_pg_23Na	22Ne(p,g)23Na	1.0000000000E+03	3.0000000000E-01		1000	0.30
35Ar_pg_36K	35Ar(p,g)36K	1.0000000000E+01	1.0000000000E-01		10	0.1
21Na_pg_22Mg	21Na(p,g)22Mg	1.0000000000E+02	1.0000000000E-02		100	0.01
36Ar_pg_37K	36Ar(p,g)37K	1.1500000000E+00	8.7000000000E-01		1.15	0.87
