# Iliadis et al. 2002 Table 4.
isotope	isotope_label	z	element	a	P1	P2	S1	JCH1	JCH2	JH1	JH2
1H	H-1	1	H	1	2.6000000000E-01	2.0000000000E-01	1.5000000000E-01	1.6000000000E-01	1.5000000000E-01	4.6000000000E-01	2.4000000000E-01
3He	He-3	2	He	3	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	0.0000000000E+00	3.6000000000E-07	4.5000000000E-07
4He	He-4	2	He	4	2.1000000000E-01	2.2000000000E-01	2.2000000000E-01	3.6000000000E-01	3.6000000000E-01	2.6000000000E-01	2.2000000000E-01
7Be	Be-7	4	Be	7	6.0000000000E-08	7.2000000000E-07	2.3000000000E-07	1.9000000000E-10	1.8000000000E-08	8.7000000000E-09	5.9000000000E-07
12C	C-12	6	C	12	2.1000000000E-02	5.1000000000E-02	4.3000000000E-02	3.5000000000E-02	6.2000000000E-02	8.4000000000E-03	2.6000000000E-02
13C	C-13	6	C	13	2.3000000000E-02	2.7000000000E-02	1.9000000000E-02	6.6000000000E-02	6.9000000000E-02	9.7000000000E-03	6.9000000000E-02
14N	N-14	7	N	14	6.1000000000E-02	2.2000000000E-02	2.2000000000E-02	1.2000000000E-01	8.1000000000E-02	1.5000000000E-01	2.2000000000E-01
15N	N-15	7	N	15	3.2000000000E-06	8.2000000000E-03	4.2000000000E-02	2.5000000000E-05	6.5000000000E-03	8.1000000000E-04	3.3000000000E-03
16O	O-16	8	O	16	1.9000000000E-04	1.5000000000E-04	1.2000000000E-04	3.4000000000E-03	4.2000000000E-04	1.0000000000E-01	1.9000000000E-01
17O	O-17	8	O	17	2.8000000000E-02	1.7000000000E-02	2.6000000000E-04	1.7000000000E-03	2.0000000000E-03	3.3000000000E-03	2.0000000000E-02
18O	O-18	8	O	18	9.2000000000E-07	7.1000000000E-06	1.1000000000E-08	1.7000000000E-07	1.4000000000E-07	4.4000000000E-10	1.6000000000E-09
18F	F-18	9	F	18	1.7000000000E-05	4.3000000000E-06	1.1000000000E-07	2.1000000000E-06	2.0000000000E-06	3.2000000000E-06	1.8000000000E-05
19F	F-19	9	F	19	1.8000000000E-07	1.1000000000E-07	1.0000000000E-06	7.5000000000E-09	1.2000000000E-08	1.1000000000E-08	3.3000000000E-08
20Ne	Ne-20	10	Ne	20	2.0000000000E-01	1.0000000000E-01	4.2000000000E-02	1.6000000000E-01	1.5000000000E-01	1.3000000000E-03	9.8000000000E-04
21Ne	Ne-21	10	Ne	21	3.7000000000E-06	7.7000000000E-06	5.9000000000E-06	4.2000000000E-06	9.2000000000E-06	2.3000000000E-08	2.5000000000E-08
22Ne	Ne-22	10	Ne	22	9.2000000000E-09	4.0000000000E-09	1.9000000000E-10	2.8000000000E-04	5.4000000000E-06	2.5000000000E-03	4.8000000000E-03
22Na	Na-22	11	Na	22	1.1000000000E-04	4.9000000000E-05	2.1000000000E-05	1.1000000000E-04	9.6000000000E-05	1.3000000000E-06	6.4000000000E-07
23Na	Na-23	11	Na	23	2.0000000000E-04	5.7000000000E-04	9.8000000000E-04	1.6000000000E-04	1.5000000000E-04	1.4000000000E-05	2.1000000000E-05
24Mg	Mg-24	12	Mg	24	1.0000000000E-05	2.8000000000E-05	4.5000000000E-05	8.1000000000E-06	6.0000000000E-06	1.3000000000E-06	1.2000000000E-06
25Mg	Mg-25	12	Mg	25	4.1000000000E-03	9.1000000000E-03	6.3000000000E-03	8.0000000000E-04	6.8000000000E-04	4.4000000000E-04	2.5000000000E-04
