# Iliadis et al. 2002 Table 6.
model	wd_composition	tpeak_gk	reaction_id	reaction	isotope	isotope_label	factor_100	factor_10	factor_2	factor_0.5	factor_0.1	factor_0.01
P2	ONe	0.356	3He_ag_7Be	3He(a,g)7Be	7Be	Be-7	...	...	0.26	1.7	...	...
P2	ONe	0.356	8B_pg_9C	8B(p,g)9C	7Be	Be-7	...	0.63	0.90	1.1	1.2	...
P2	ONe	0.356	13N_pg_14O	13N(p,g)14O	13C	C-13	...	...	0.81	1.1	...	...
P2	ONe	0.356	13N_pg_14O	13N(p,g)14O	14N	N-14	...	...	1.2	0.86	...	...
P2	ONe	0.356	15O_ag_19Ne	15O(a,g)19Ne	16O	O-16	1.3	1.1	1.0	1.0	1.0	1.0
P2	ONe	0.356	15O_ag_19Ne	15O(a,g)19Ne	19F	F-19	1.5	1.0	1.0	1.0	1.0	1.0
P2	ONe	0.356	15N_pg_16O	15N(p,g)16O	16O	O-16	...	...	1.4	0.80	...	...
P2	ONe	0.356	16O_pg_17F	16O(p,g)17F	16O	O-16	...	...	0.73	1.7	...	...
P2	ONe	0.356	17O_pg_18F	17O(p,g)18F	17O	O-17	...	0.76	1.0	1.1	1.1	...
P2	ONe	0.356	17O_pg_18F	17O(p,g)18F	18F	F-18	...	7.4	1.9	0.51	0.10	...
P2	ONe	0.356	17O_pg_18F	17O(p,g)18F	18O	O-18	...	7.5	2.0	0.51	0.11	...
P2	ONe	0.356	17O_pg_18F	17O(p,g)18F	19F	F-19	...	2.5	1.2	0.85	0.75	...
P2	ONe	0.356	17O_pa_14N	17O(p,a)14N	14N	N-14	...	1.2	1.0	1.0	0.95	...
P2	ONe	0.356	17O_pa_14N	17O(p,a)14N	17O	O-17	...	0.47	0.88	1.1	1.3	...
P2	ONe	0.356	17O_pa_14N	17O(p,a)14N	18F	F-18	...	0.44	0.84	1.1	1.3	...
P2	ONe	0.356	17O_pa_14N	17O(p,a)14N	18O	O-18	...	0.44	0.85	1.1	1.3	...
P2	ONe	0.356	17O_pa_14N	17O(p,a)14N	19F	F-19	...	0.83	0.91	1.0	1.1	...
P2	ONe	0.356	17F_pg_18Ne	17F(p,g)18Ne	12C	C-12	...	1.1	1.1	0.86	0.65	...
P2	ONe	0.356	17F_pg_18Ne	17F(p,g)18Ne	13C	C-13	...	1.0	1.1	0.85	0.63	...
P2	ONe	0.356	17F_pg_18Ne	17F(p,g)18Ne	14N	N-14	...	1.1	1.1	0.91	0.73	...
P2	ONe	0.356	17F_pg_18Ne	17F(p,g)18Ne	15N	N-15	...	1.1	1.1	0.87	0.65	...
P2	ONe	0.356	17F_pg_18Ne	17F(p,g)18Ne	17O	O-17	...	0.0018	0.24	2.1	3.9	...
P2	ONe	0.356	17F_pg_18Ne	17F(p,g)18Ne	18F	F-18	...	0.0017	0.23	2.1	4.0	...
P2	ONe	0.356	17F_pg_18Ne	17F(p,g)18Ne	18O	O-18	...	0.0017	0.24	2.1	3.8	...
P2	ONe	0.356	18F_pg_19Ne	18F(p,g)19Ne	16O	O-16	...	4.4	1.4	0.80	0.67	...
P2	ONe	0.356	18F_pg_19Ne	18F(p,g)19Ne	19F	F-19	...	9.1	1.9	0.50	0.12	...
P2	ONe	0.356	18F_pa_15O	18F(p,a)15O	16O	O-16	0.63	0.67	0.80	1.4	4.4	35
P2	ONe	0.356	18F_pa_15O	18F(p,a)15O	18F	F-18	0.017	0.12	0.53	1.9	7.4	42
P2	ONe	0.356	18F_pa_15O	18F(p,a)15O	18O	O-18	0.017	0.12	0.54	1.8	7.5	42
P2	ONe	0.356	18F_pa_15O	18F(p,a)15O	19F	F-19	0.015	0.10	0.49	1.9	9.1	80
P2	ONe	0.356	19Ne_pg_20Na	19Ne(p,g)20Na	19F	F-19	0.65	0.91	1.0	1.0	1.0	1.0
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	20Ne	Ne-20	...	...	0.74	1.4	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	21Ne	Ne-21	...	...	1.4	0.69	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	22Na	Na-22	...	...	1.4	0.71	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	22Ne	Ne-22	...	...	1.4	0.73	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	23Na	Na-23	...	...	1.2	0.70	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	24Mg	Mg-24	...	...	1.3	0.71	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	25Mg	Mg-25	...	...	1.1	0.76	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	26Al	Al-26	...	...	1.1	0.73	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	26Mg	Mg-26	...	...	1.1	0.77	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	27Al	Al-27	...	...	1.1	0.73	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	28Si	Si-28	...	...	1.1	0.76	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	29Si	Si-29	...	...	1.1	0.74	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	30Si	Si-30	...	...	1.2	0.73	...	...
P2	ONe	0.356	20Ne_pg_21Na	20Ne(p,g)21Na	31P	P-31	...	...	1.2	0.75	...	...
P2	ONe	0.356	21Na_pg_22Mg	21Na(p,g)22Mg	21Ne	Ne-21	0.18	0.49	0.82	1.2	1.7	3.2
P2	ONe	0.356	21Na_pg_22Mg	21Na(p,g)22Mg	22Na	Na-22	0.73	0.76	0.88	1.2	1.9	4.7
P2	ONe	0.356	21Na_pg_22Mg	21Na(p,g)22Mg	22Ne	Ne-22	0.75	0.77	0.87	1.2	1.9	4.8
P2	ONe	0.356	21Na_pg_22Mg	21Na(p,g)22Mg	23Na	Na-23	1.0	0.98	0.98	1.0	1.1	1.6
P2	ONe	0.356	21Na_pg_22Mg	21Na(p,g)22Mg	24Mg	Mg-24	1.0	1.0	1.0	1.0	1.1	1.5
P2	ONe	0.356	22Na_pg_23Mg	22Na(p,g)23Mg	22Na	Na-22	...	...	0.61	1.7	...	...
P2	ONe	0.356	22Na_pg_23Mg	22Na(p,g)23Mg	22Ne	Ne-22	...	...	0.63	1.7	...	...
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	20Ne	Ne-20	...	0.44	0.79	1.2	1.5	1.6
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	21Ne	Ne-21	...	0.44	0.78	1.2	1.4	1.6
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	22Na	Na-22	...	0.43	0.78	1.2	1.5	1.6
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	22Ne	Ne-22	...	0.45	0.80	1.2	1.5	1.5
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	23Na	Na-23	...	0.16	0.67	1.3	1.6	1.8
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	24Mg	Mg-24	...	1.8	1.4	0.64	0.16	0.018
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	25Mg	Mg-25	...	2.1	1.4	0.65	0.20	0.060
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	26Al	Al-26	...	2.0	1.4	0.65	0.22	0.084
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	26Mg	Mg-26	...	2.0	1.4	0.65	0.21	0.077
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	27Al	Al-27	...	1.9	1.3	0.67	0.28	0.16
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	28Si	Si-28	...	1.5	1.2	0.83	0.59	0.51
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	29Si	Si-29	...	1.3	1.1	0.89	0.74	0.67
P2	ONe	0.356	23Na_pg_24Mg	23Na(p,g)24Mg	30Si	Si-30	...	1.0	1.0	1.0	1.0	0.81
