# Iliadis et al. 2002 Table 7.
model	wd_composition	tpeak_gk	reaction_id	reaction	isotope	isotope_label	factor_100	factor_10	factor_2	factor_0.5	factor_0.1	factor_0.01
S1	ONe	0.418	3He_ag_7Be	3He(a,g)7Be	7Be	Be-7	...	...	0.27	1.8	...	...
S1	ONe	0.418	7Be_ag_11C	7Be(a,g)11C	7Be	Be-7	...	...	0.39	1.6	...	...
S1	ONe	0.418	8B_pg_9C	8B(p,g)9C	7Be	Be-7	...	0.043	0.57	1.4	2.0	...
S1	ONe	0.418	13N_pg_14O	13N(p,g)14O	13C	C-13	...	...	0.77	1.2	...	...
S1	ONe	0.418	13N_pg_14O	13N(p,g)14O	14N	N-14	...	...	1.2	0.86	...	...
S1	ONe	0.418	15O_ag_19Ne	15O(a,g)19Ne	16O	O-16	6.6	1.5	1.0	0.92	0.92	0.92
S1	ONe	0.418	15O_ag_19Ne	15O(a,g)19Ne	17O	O-17	2.6	1.2	1.0	1.0	0.96	0.96
S1	ONe	0.418	15O_ag_19Ne	15O(a,g)19Ne	18F	F-18	2.7	1.2	1.1	1.0	1.0	1.0
S1	ONe	0.418	15O_ag_19Ne	15O(a,g)19Ne	18O	O-18	2.6	1.2	1.0	1.0	1.0	1.0
S1	ONe	0.418	15O_ag_19Ne	15O(a,g)19Ne	19F	F-19	11	1.9	1.1	0.96	0.92	0.92
S1	ONe	0.418	15N_pg_16O	15N(p,g)16O	16O	O-16	...	...	1.3	0.78	...	...
S1	ONe	0.418	16O_pg_17F	16O(p,g)17F	16O	O-16	...	...	0.78	1.2	...	...
S1	ONe	0.418	17O_pg_18F	17O(p,g)18F	17O	O-17	...	0.85	0.96	1.0	1.0	...
S1	ONe	0.418	17O_pg_18F	17O(p,g)18F	18F	F-18	...	8.0	2.0	0.54	0.12	...
S1	ONe	0.418	17O_pg_18F	17O(p,g)18F	18O	O-18	...	7.8	1.9	0.52	0.11	...
S1	ONe	0.418	17O_pa_14N	17O(p,a)14N	17O	O-17	...	0.65	0.88	1.1	1.2	...
S1	ONe	0.418	17O_pa_14N	17O(p,a)14N	18F	F-18	...	0.55	0.90	1.2	1.4	...
S1	ONe	0.418	17O_pa_14N	17O(p,a)14N	18O	O-18	...	0.54	0.87	1.1	1.4	...
S1	ONe	0.418	17F_pg_18Ne	17F(p,g)18Ne	12C	C-12	...	0.98	1.0	0.98	0.70	...
S1	ONe	0.418	17F_pg_18Ne	17F(p,g)18Ne	13C	C-13	...	1.0	1.0	1.0	0.72	...
S1	ONe	0.418	17F_pg_18Ne	17F(p,g)18Ne	14N	N-14	...	1.0	1.0	1.0	0.73	...
