# Iliadis et al. 2002 Table 9.
model	wd_composition	tpeak_gk	reaction_id	reaction	isotope	isotope_label	factor_100	factor_10	factor_2	factor_0.5	factor_0.1	factor_0.01
JCH2	ONe	0.251	3He_ag_7Be	3He(a,g)7Be	7Be	Be-7	...	...	0.33	1.5	...	...
JCH2	ONe	0.251	7Be_pg_8B	7Be(p,g)8B	7Be	Be-7	...	...	0.048	6.7	...	...
JCH2	ONe	0.251	8B_pg_9C	8B(p,g)9C	7Be	Be-7	...	0.46	0.89	1.1	1.2	...
JCH2	ONe	0.251	13N_pg_14O	13N(p,g)14O	13C	C-13	...	...	0.72	1.3	...	...
JCH2	ONe	0.251	13N_pg_14O	13N(p,g)14O	14N	N-14	...	...	1.1	0.84	...	...
JCH2	ONe	0.251	14N_pg_15O	14N(p,g)15O	14N	N-14	...	...	0.81	1.2	...	...
JCH2	ONe	0.251	15N_pg_16O	15N(p,g)16O	16O	O-16	...	...	1.4	0.76	...	...
JCH2	ONe	0.251	15N_pa_12C	15N(p,a)12C	15N	N-15	...	...	0.64	1.5	...	...
JCH2	ONe	0.251	15N_pa_12C	15N(p,a)12C	16O	O-16	...	...	0.76	1.4	...	...
JCH2	ONe	0.251	16O_pg_17F	16O(p,g)17F	16O	O-16	...	...	0.40	16	...	...
JCH2	ONe	0.251	17O_pg_18F	17O(p,g)18F	17O	O-17	...	0.19	0.70	1.2	1.4	...
JCH2	ONe	0.251	17O_pg_18F	17O(p,g)18F	18F	F-18	...	1.9	1.5	0.60	0.14	...
JCH2	ONe	0.251	17O_pg_18F	17O(p,g)18F	18O	O-18	...	1.8	1.4	0.59	0.14	...
JCH2	ONe	0.251	17O_pg_18F	17O(p,g)18F	19F	F-19	...	1.5	1.3	0.58	0.14	...
JCH2	ONe	0.251	17O_pa_14N	17O(p,a)14N	17O	O-17	...	0.033	0.26	2.9	9.5	...
JCH2	ONe	0.251	17O_pa_14N	17O(p,a)14N	18F	F-18	...	0.031	0.27	2.9	9.5	...
JCH2	ONe	0.251	17O_pa_14N	17O(p,a)14N	18O	O-18	...	0.030	0.26	2.8	8.6	...
JCH2	ONe	0.251	17O_pa_14N	17O(p,a)14N	19F	F-19	...	0.028	0.27	2.6	7.7	...
JCH2	ONe	0.251	17F_pg_18Ne	17F(p,g)18Ne	17O	O-17	...	0.17	0.80	1.1	1.3	...
JCH2	ONe	0.251	17F_pg_18Ne	17F(p,g)18Ne	18F	F-18	...	0.17	0.80	1.2	1.3	...
JCH2	ONe	0.251	17F_pg_18Ne	17F(p,g)18Ne	18O	O-18	...	0.16	0.79	1.1	1.2	...
JCH2	ONe	0.251	17F_pg_18Ne	17F(p,g)18Ne	19F	F-19	...	0.15	0.76	1.1	1.2	...
JCH2	ONe	0.251	18F_pg_19Ne	18F(p,g)19Ne	16O	O-16	...	1.2	1.0	1.0	1.0	...
JCH2	ONe	0.251	18F_pg_19Ne	18F(p,g)19Ne	19F	F-19	...	9.2	1.9	0.49	0.13	...
JCH2	ONe	0.251	18F_pa_15O	18F(p,a)15O	16O	O-16	0.95	1.0	1.0	1.0	1.2	3.3
JCH2	ONe	0.251	18F_pa_15O	18F(p,a)15O	18F	F-18	0.014	0.14	0.55	1.9	8.5	110
JCH2	ONe	0.251	18F_pa_15O	18F(p,a)15O	18O	O-18	0.014	0.13	0.53	1.8	7.9	100
JCH2	ONe	0.251	18F_pa_15O	18F(p,a)15O	19F	F-19	0.010	0.10	0.48	1.9	9.2	130
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	20Ne	Ne-20	...	...	0.87	1.1	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	21Ne	Ne-21	...	...	1.7	0.53	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	22Na	Na-22	...	...	1.7	0.56	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	22Ne	Ne-22	...	...	1.2	0.93	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	23Na	Na-23	...	...	1.7	0.55	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	24Mg	Mg-24	...	...	1.7	0.57	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	25Mg	Mg-25	...	...	1.6	0.54	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	26Al	Al-26	...	...	1.7	0.53	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	26Mg	Mg-26	...	...	1.7	0.56	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	27Al	Al-27	...	...	1.8	0.54	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	28Si	Si-28	...	...	1.4	0.73	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	29Si	Si-29	...	...	1.4	0.74	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	30Si	Si-30	...	...	1.2	0.80	...	...
JCH2	ONe	0.251	20Ne_pg_21Na	20Ne(p,g)21Na	31P	P-31	...	...	1.1	0.90	...	...
JCH2	ONe	0.251	22Ne_pg_23Na	22Ne(p,g)23Na	22Ne	Ne-22	0.00014	0.00016	0.0035	19	220	...
JCH2	ONe	0.251	21Na_pg_22Mg	21Na(p,g)22Mg	21Ne	Ne-21	0.35	0.57	0.83	1.2	1.4	1.5
JCH2	ONe	0.251	21Na_pg_22Mg	21Na(p,g)22Mg	22Na	Na-22	0.72	0.76	0.90	1.1	1.4	1.5
JCH2	ONe	0.251	22Na_pg_23Mg	22Na(p,g)23Mg	22Na	Na-22	...	...	0.72	1.6	...	...
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	20Ne	Ne-20	...	0.73	0.87	1.1	1.2	1.3
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	21Ne	Ne-21	...	0.73	0.89	1.1	1.2	1.2
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	22Na	Na-22	...	0.71	0.90	1.1	1.3	1.3
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	22Ne	Ne-22	...	1.1	1.0	0.93	0.89	0.89
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	23Na	Na-23	...	0.31	0.73	1.2	1.5	1.6
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	24Mg	Mg-24	...	2.7	1.5	0.62	0.16	0.017
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	25Mg	Mg-25	...	1.9	1.4	0.65	0.16	0.018
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	26Al	Al-26	...	1.8	1.4	0.64	0.16	0.018
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	26Mg	Mg-26	...	1.9	1.3	0.67	0.17	0.019
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	27Al	Al-27	...	1.8	1.3	0.66	0.18	0.020
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	28Si	Si-28	...	1.6	1.2	0.76	0.46	0.36
JCH2	ONe	0.251	23Na_pg_24Mg	23Na(p,g)24Mg	29Si	Si-29	...	1.7	1.2	0.77	0.47	0.37
